"Daily Weather Observations for Brisbane, Queensland for July 2017"
"Prepared at 13:04 GMT on Monday  7 August 2017   IDCJDW4019.201707"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-07-1,10.0,20.4,0.2,2.8,9.9,SE,17,14:04,14.2,56,1,SW,4,1027.9,19.5,33,1,WSW,6,1025.4
,2017-07-2,7.6,21.6,0,3.6,9.1,SW,17,09:53,12.4,69,1,SW,7,1027.7,21.4,44,1,N,4,1023.7
,2017-07-3,,22.3,0,2.8,8.2,ENE,19,13:13,,,1,S,4,1024.6,20.4,61,7,NE,7,1019.6
,2017-07-4,13.9,,0,1.8,8.7,NE,15,15:20,17.8,78,2,S,2,1020.9,,,2,ENE,7,1016.1
,2017-07-5,9.3,26.4,0.2,2.8,8.4,SSW,17,16:38,17.2,72,0,SSE,2,1019.5,25.3,37,2,ENE,7,1014.2
,2017-07-6,12.2,23.6,6.6,3.2,9.6,W,22,09:09,18.6,57,1,WSW,7,1019.2,23.4,36,1,WNW,6,1015.6
,2017-07-7,11.9,16.4,4.8,4.2,0.0,WSW,17,07:14,13.5,90,8, ,Calm,1016.6,15.2,92,8,WSW,4,1013.6
,2017-07-8,8.7,21.9,7.0,2.4,9.2,WNW,22,14:36,16.2,75,2,E,2,1019.0,21.5,30,2,WNW,11,1016.5
,2017-07-9,6.8,21.5,0.2,1.8,7.8,WSW,13,10:22,14.0,60,2,SSW,2,1022.8,20.8,33,7,ENE,4,1019.7
,2017-07-10,11.6,21.7,0,3.4,6.0,ESE,17,13:53,15.6,56,7,SW,6,1025.7,20.1,43,7,ESE,2,1024.0
,2017-07-11,13.5,22.8,0.4,3.2,7.6,E,22,16:19,16.4,61,4,SW,6,1027.6,20.7,50,3,E,7,1024.5
,2017-07-12,10.7,21.3,0,3.4,7.3,SSW,22,12:22,15.4,60,6,SW,7,1029.5,19.7,51,3,SSW,6,1025.8
,2017-07-13,10.8,20.8,0,3.6,9.3,ENE,19,14:38,15.1,69,2,SSW,7,1027.5,18.7,59,3,ENE,7,1024.1
,2017-07-14,9.3,22.7,0,3.2,9.9,ENE,19,13:32,13.9,78,1,SW,4,1024.3,20.3,57,3,NE,7,1020.5
,2017-07-15,11.4,24.6,0,2.4,9.5,W,28,18:08,17.1,74,1, ,Calm,1022.2,22.6,58,2,ENE,9,1017.3
,2017-07-16,14.9,23.1,23.4,2.0,8.1,E,17,14:14,17.0,81,6,W,2,1020.7,20.6,62,2,ESE,2,1018.9
,2017-07-17,11.8,23.2,0,6.8,9.8,NNE,17,16:50,16.0,82,1,WSW,4,1023.0,21.5,64,2,ENE,7,1018.7
,2017-07-18,14.2,26.3,0,2.4,9.8,WSW,30,23:14,15.3,97,1,WSW,2,1020.6,24.1,60,1,ENE,7,1014.6
,2017-07-19,14.3,19.1,4.2,6.0,9.8,W,50,12:25,17.2,41,1,W,17,1013.2,17.9,32,2,WSW,19,1010.0
,2017-07-20,9.4,20.7,0,7.6,10.1,W,37,15:10,15.5,51,0,WSW,9,1017.7,20.1,36,0,W,17,1014.2
,2017-07-21,,21.6,0,6.2,10.0,W,20,13:25,14.0,48,0,SW,6,1019.3,21.4,25,0,WSW,6,1017.0
,2017-07-22,7.5,21.8,0,3.2,9.9,WSW,15,10:23,13.2,57,0,SW,6,1024.1,20.8,40,1,ENE,6,1020.3
,2017-07-23,8.2,23.2,0,3.2,9.9,W,26,12:37,13.9,75,0,WSW,6,1022.8,22.6,32,1,W,9,1017.4
,2017-07-24,5.9,25.3,0,3.8,9.8,WSW,19,12:44,13.4,52,0,SW,7,1022.1,24.9,25,0,W,6,1019.0
,2017-07-25,7.9,23.8,0,2.4,10.1,SSE,22,13:40,13.8,57,1,WSW,6,1024.3,23.2,22,0,WSW,7,1020.6
,2017-07-26,7.8,25.7,0,3.8,10.1,W,15,13:24,13.7,58,0,SW,4,1023.3,25.2,22,0,W,6,1019.0
,2017-07-27,9.7,23.3,0,3.2,9.9,E,24,16:02,15.7,53,0,SSW,4,1023.8,21.7,45,1,ESE,11,1021.7
,2017-07-28,9.8,26.3,0,4.4,9.8,W,17,14:26,15.1,68,3,SW,4,1023.8,25.5,34,3,WNW,9,1018.6
,2017-07-29,10.2,24.8,0,4.0,10.2,NE,15,15:21,15.9,55,0,WSW,4,1022.1,24.5,15,0,S,4,1019.1
,2017-07-30,7.7,24.2,0,3.2,10.0,NNE,17,16:27,13.3,61,0,SW,4,1022.8,23.5,38,0,NE,7,1018.4
,2017-07-31,11.0,25.6,0,2.8,9.9,NNE,26,15:48,14.8,84,0,ESE,4,1022.8,22.8,57,1,NE,11,1017.9
